priority,content_type,url,focus_keyphrase,seo_title,meta_description,yoast_action,recommended_robots,content_source,issues_notes,title_chars,meta_chars,current_title,current_meta_description,current_h1
P0,News,https://trafigurafoundation.org/news/connect-share-shape-partnership-highlights-from-nyc-climate-week/,NYC Climate Week partners,NYC Climate Week Partner Highlights | Trafigura Foundation,"Dario Soto Abril convened strategic partners at NYC Climate Week to share climate-resilience priorities, from flexible funding to donor collaboration.",Update Yoast fields,"index, follow",para1+para4 partner breakfast priorities,,58,150,"Connect, Share, Shape: Partnership… | Trafigura Foundation","Connect, Share, Shape: partnership highlights from New York Climate Week with Trafigura Foundation.","Connect, Share, Shape: Partnership Highlights from NYC Climate Week"
P0,News,https://trafigurafoundation.org/news/elementor-35238/,Nature Conservancy grant,Grant to The Nature Conservancy | Trafigura Foundation,"We support TNC's Natural Climate Solutions Accelerator in Argentina, Brazil and Peru, targeting 60,000 people and 750,000 hectares under improved management.",Delete or noindex; remove from sitemap,"noindex, follow",para1–3 TNC Accelerator LatAm targets,should be noindex | Junk URL in sitemap | Has real TNC Accelerator content but junk slug; republish with proper URL then index,54,157,New Grant to The Nature Conservancy — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",New Grant to The Nature Conservancy
P0,News,https://trafigurafoundation.org/news/field-visit-heading-off-humanitarian-crises-in-africa/,Start Network Eastern Africa,Eastern Africa Humanitarian Crises | Trafigura Foundation,"A field visit in Tanzania and Zimbabwe shows how Start Network's Start Fund delivers rapid, anticipatory responses before climate crises escalate.",Update Yoast fields,"index, follow",para1–2 Start Network Tanzania Zimbabwe,,57,146,Eastern Africa: Heading Off Humanitarian Crises — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Eastern Africa: Heading Off Humanitarian Crises
P0,News,https://trafigurafoundation.org/news/field-visit-in-columbia-cultivating-climate-resilience/,Root Capital Colombia coffee,Colombia Climate Resilience | Trafigura Foundation,Laura Frühwald visits Sierra Nevada de Santa Marta to see how Root Capital helps Colombian coffee smallholders adapt to a shifting climate.,Update Yoast fields,"index, follow",para2–3 Root Capital Sierra Nevada coffee,Slug misspells Colombia (columbia),50,139,Colombia: Cultivating Climate Resilience — Trafigura Foundation,"Explore how Trafigura Foundation’s field visit to Colombia highlights initiatives focused on climate resilience, sustainability, and community",Colombia: Cultivating Climate Resilience
P0,News,https://trafigurafoundation.org/news/field-visit-in-mongolia-conserving-grasslands-to-protect-people-and-nature/,Mongolia grassland conservation,Mongolia Grassland Conservation | Trafigura Foundation,Nina Saalismaa visits Mongolia to see how The Nature Conservancy and government protect grasslands under pressure from climate change and overgrazing.,Update Yoast fields,"index, follow",para1–2 TNC Mongolia grasslands,,54,150,Mongolia: Conserving Grasslands to Protect People and Nature — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Mongolia: Conserving Grasslands to Protect People and Nature
P0,News,https://trafigurafoundation.org/news/field-visit-inspecting-the-mechanics-of-coral-reef-conservation/,coral reef conservation Indonesia,Indonesia Coral Reef Conservation | Trafigura Foundation,Nina Saalismaa visits Indonesia to see how Wildlife Conservation Society protects coral ecosystems and livelihoods in the Sulu-Sulawesi Seascape.,Update Yoast fields,"index, follow",para1 WCS Sulu-Sulawesi coral,,56,145,Indonesia: Inspecting the Mechanics of Coral Reef Conservation — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Indonesia: Inspecting the Mechanics of Coral Reef Conservation
P0,News,https://trafigurafoundation.org/news/fundacion-don-bosco-spain/,Don Bosco Incorpora Jóven,Don Bosco: Story of Diako | Trafigura Foundation,"Diako, a young Malian migrant in Seville, finds training and work through Fundación Don Bosco's Incorpora Jóven programme after arriving in Spain.",Update Yoast fields,"index, follow",para3–5 Don Bosco Incorpora Jóven Seville,,48,146,Don Bosco: Story of Diako — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Don Bosco: Story of Diako
P0,News,https://trafigurafoundation.org/news/international-womens-day-inspiring-stories-of-empowerment/,BOMA Green REAP Ethiopia,Women's Empowerment Stories | Trafigura Foundation,"On International Women's Day, we spotlight BOMA's Green REAP in Ethiopia's Borena Zone, training women entrepreneurs for climate-resilient livelihoods.",Update Yoast fields,"index, follow",para2+para5 BOMA Green REAP Ethiopia,,50,151,International Women's Day: Inspiring Stories of Empowerment — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",International Women’s Day: Inspiring Stories of Empowerment
P0,News,https://trafigurafoundation.org/news/launch-of-our-climate-resilience-case-studies/,climate resilience case studies,Climate Resilience Case Studies | Trafigura Foundation,New field-based case studies show how communities gain secure livelihoods and manage natural resources through locally led climate resilience solutions.,Update Yoast fields,"index, follow",para1+para3 field case studies livelihoods,,54,152,New Field-based Case Studies on Climate Resilience — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",New Field-based Case Studies on Climate Resilience
P0,News,https://trafigurafoundation.org/news/looking-ahead-to-2026-with-local-leaders/,locally led climate funding,Looking Ahead to 2026 | Trafigura Foundation,"In 2025 we partnered with 25 organisations across 50 countries, with 79% of funding going to locally led initiatives; 2026 scales innovative finance.",Update Yoast fields,"index, follow",para1 25 orgs 50 countries 79%,,44,149,Looking Ahead to 2026 with Local Leaders — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Looking Ahead to 2026 with Local Leaders
P0,News,https://trafigurafoundation.org/news/new-partnership-protecting-coastal-ecosystems-for-people-and-nature-with-blue-alliance/,Blue Alliance coastal ecosystems,Blue Alliance Coastal Partnership | Trafigura Foundation,"We support Blue Alliance regenerating coral reefs and coastal livelihoods in Indonesia, the Philippines and Tanzania, expanding MPAs toward 4 million hectares.",Update Yoast fields,"index, follow",para1+para4 Blue Alliance Indo Philippines Tanzania,,56,159,New Partnership to Protect Coastal Ecosystems for People and Nature — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",New Partnership to Protect Coastal Ecosystems for People and Nature
P0,News,https://trafigurafoundation.org/news/new-partnership-to-accelerate-innovations-for-climate-resilience/,Global Resilience Partnership,Global Resilience Partnership | Trafigura Foundation,"We support the Global Resilience Partnership to scale 25 innovation projects benefiting 200,000 people and mobilising USD 2 million for climate resilience.",Update Yoast fields,"index, follow","para2–3 GRP 25 projects 200,000 people",,52,155,New Partnership to Advance Innovations for Climate Resilience — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",New Partnership to Advance Innovations for Climate Resilience
P0,News,https://trafigurafoundation.org/news/new-partnership-to-build-climate-resilient-informal-settlements-in-africa/,climate-resilient informal settlements,Climate-Resilient Settlements in Africa | Trafigura Foundation,"We support SDI to strengthen climate resilience in informal settlements in South Africa, Zambia and Zimbabwe, targeting about 50,000 people across eight cities.",Update Yoast fields,"index, follow","para2+para5 SDI SA Zambia Zimbabwe 50,000",,62,160,New Partnership to Build Climate-Resilient Informal Settlements in Africa — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",New Partnership to Build Climate-Resilient Informal Settlements in Africa
P0,News,https://trafigurafoundation.org/news/new-partnership-to-make-conservation-profitable-for-farming-families-in-zambia/,COMACO Zambia partnership,Conservation Farming for Zambian Families | Trafigura Foundation,"Partnering with COMACO to help rural Zambian farmers adopt climate-resilient, chemical-free agriculture and reach premium markets via It's Wild!.",Update Yoast fields,"index, follow",para1–3 COMACO It's Wild! Zambia,,64,145,New Partnership to Make Conservation Profitable for Farming Families in Zambia — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",New Partnership to Make Conservation Profitable for Farming Families in Zambia
P0,News,https://trafigurafoundation.org/news/new-partnership-to-restore-safe-land-and-nature-in-angola/,HALO Trust Angola clearance,Mine Clearance Restoring Land in Angola | Trafigura Foundation,"Supporting The HALO Trust to clear 39.6 hectares of minefields in Bié Province and the Okavango Basin, benefiting nearly 9,000 people and restoring safe land.",Update Yoast fields,"index, follow",para2–3 HALO 39.6 ha Bié,,62,158,New partnership to Restore Safe Land and Nature in Angola — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",New partnership to Restore Safe Land and Nature in Angola
P0,News,https://trafigurafoundation.org/news/new-partnership-to-scale-blue-carbon-projects-and-strengthen-coastal-resilience/,Blue Catalyst Fund,Blue Catalyst Fund Coastal Resilience | Trafigura Foundation,"Supporting the Blue Catalyst Fund, a recoverable grant facility that readies mangrove and coastal blue carbon projects for investment readiness.",Update Yoast fields,"index, follow",para2–3 Blue Catalyst Fund revolving,,60,144,New Partnership to Advance Blue Carbon Projects and Coastal Resilience — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",New Partnership to Advance Blue Carbon Projects and Coastal Resilience
P0,News,https://trafigurafoundation.org/news/new-partnership-to-strengthen-communities-against-climate-disasters/,climate disaster MSME resilience,Climate Disaster Resilience for MSMEs | Trafigura Foundation,"Supporting New Energy Nexus to embed climate adaptation for MSMEs in Indonesia, Nigeria and Pakistan—from cooling technologies to reliable backup power.",Update Yoast fields,"index, follow",para2–3 NEX three countries,,60,152,New Partnership to Strengthen Communities Against Climate Disasters — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",New Partnership to Strengthen Communities Against Climate Disasters
P0,News,https://trafigurafoundation.org/news/new-partnership-to-strengthen-community-led-conservation-in-africa/,Maliasili community conservation,Community-Led Conservation in Africa | Trafigura Foundation,"Partnering with Maliasili to strengthen 19 local conservation organisations in five African countries, improving management of 2.7 million hectares.",Update Yoast fields,"index, follow",para1+para4 Maliasili 19 orgs,,59,148,New Partnership to Strengthen Community-Led Conservation in Africa — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",New Partnership to Strengthen Community-Led Conservation in Africa
P0,News,https://trafigurafoundation.org/news/new-partnership-to-support-climate-resilient-small-businesses-in-argentina-and-paraguay/,Sumatoria climate resilience loans,Climate Loans in Argentina & Paraguay | Trafigura Foundation,A three-year grant to Sumatoria expands affordable impact loans for small businesses and cooperatives in Argentina and Paraguay via blended finance.,Update Yoast fields,"index, follow",para2+para4 Sumatoria Climate Resilience Window,,60,148,New Partnership Supporting Climate-resilient Businesses in Argentina and Paraguay — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",New Partnership Supporting Climate-resilient Businesses in Argentina and Paraguay
P0,News,https://trafigurafoundation.org/news/new-partnership-to-support-climate-tech-innovation-in-emerging-markets/,climate-tech emerging markets,Climate-Tech for Emerging Markets | Trafigura Foundation,"Backing New Energy Nexus to scale climate-tech for urban SMEs in Indonesia, Nigeria and Pakistan with technical assistance and funding pathways.",Update Yoast fields,"index, follow",para1+para3 NEX urban SMEs,,56,144,New Partnership to Support Climate-tech Innovation in Emerging Markets — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",New Partnership to Support Climate-tech Innovation in Emerging Markets
P0,News,https://trafigurafoundation.org/news/responding-to-mozambiques-worst-floods-in-40-years/,Mozambique flood relief cash,Mozambique Flood Relief Cash Transfers | Trafigura Foundation,"With GiveDirectly, delivering 7,500 MZN mobile cash transfers to 400+ households in Sofala after Mozambique's worst floods in over 40 years.",Update Yoast fields,"index, follow",para1+para3 GiveDirectly Sofala,,61,140,Responding to Mozambique’s Worst Floods in 40 Years — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Responding to Mozambique’s Worst Floods in 40 Years
P0,News,https://trafigurafoundation.org/news/seeking-experts-to-develop-resilience-case-studies/,resilience case studies consultants,Resilience Case Studies Consultant Call | Trafigura Foundation,Seeking consultants to develop three to five case studies analysing Foundation-funded resilience programmes; submissions closed 31 July 2025.,Update Yoast fields,"index, follow",para1+para2+para5 case studies RFP,,62,141,Seeking Experts to Create Impactful Case Studies — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Seeking Experts to Create Impactful Case Studies
P0,News,https://trafigurafoundation.org/news/the-trafigura-foundation-announces-new-partnerships-for-2024-2026/,2024-2026 new partnerships,New Partnerships for 2024–2026 | Trafigura Foundation,"Announcing strategic 2024–2026 partnerships for climate adaptation across Africa, Asia and Latin America, including scaling Plan Vivo with farming communities.",Update Yoast fields,"index, follow",para3–5 Plan Vivo region-wide,,53,159,Trafigura Foundation Announces New Partnerships for 2024-2026 — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Trafigura Foundation Announces New Partnerships for 2024-2026
P0,News,https://trafigurafoundation.org/news/the-trafigura-foundation-is-seeking-a-programme-manager/,Programme Manager Geneva vacancy,Programme Manager Role in Geneva | Trafigura Foundation,"Hiring a Programme Manager for a 9-month full-time maternity cover in Geneva to oversee partnerships, support grantees and build the pipeline.",Update Yoast fields,"index, follow",para1–2 Geneva maternity cover,,55,142,The Trafigura Foundation is Seeking a Programme Manager — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",The Trafigura Foundation is Seeking a Programme Manager
P0,News,https://trafigurafoundation.org/news/trafigura-foundation-2025-annual-report-2/,2025 Annual Report,2025 Annual Report | Trafigura Foundation,The 2025 Annual Report details accelerated climate resilience work with 25 partners in 50 countries and 79% of funding to locally led solutions.,Update Yoast fields,"index, follow",para2 + lis 25 partners 50 countries,,41,144,Trafigura Foundation 2025 Annual Report — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Trafigura Foundation 2025 Annual Report
P0,News,https://trafigurafoundation.org/news/trafigura-foundation-joins-global-pledge-to-protect-coral-reefs/,coral reefs climate pledge,Global Pledge to Protect Coral Reefs | Trafigura Foundation,"At UNOC3 in Nice, joining funders of a global pledge—led with WCS and partners—to protect climate-resilient coral reefs in eleven countries.",Update Yoast fields,"index, follow",para1–2 + para4 WCS UNOC3,,59,140,Trafigura Foundation Joins Global Pledge to Protect Coral Reefs — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Trafigura Foundation Joins Global Pledge to Protect Coral Reefs
P0,News,https://trafigurafoundation.org/news/trafigura-foundation-signs-a-call-to-action-to-accelerate-action-on-climate-adaptation/,climate adaptation call to action,Call to Action on Climate Adaptation | Trafigura Foundation,"Signing with twenty-one philanthropies a COP28-era call to accelerate climate adaptation finance, shared learning and coordinated resilience strategies.",Update Yoast fields,"index, follow",para1–2 twenty-one funders COP28,,59,152,Trafigura Foundation Signs a Call to Action to Accelerate Action on Climate Adaptation — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Trafigura Foundation Signs a Call to Action to Accelerate Action on Climate Adaptation
P0,News,https://trafigurafoundation.org/news/trafigura-foundation-supports-emergency-flood-relief-in-pakistan/,Pakistan flood relief IDEA,Emergency Flood Relief in Pakistan | Trafigura Foundation,"An emergency donation to IDEA (READY Pakistan / Start Network) funds food and health aid for about 4,800 people hit by severe monsoon floods.",Update Yoast fields,"index, follow",para1+para3 IDEA READY Pakistan,,57,141,Trafigura Foundation Supports Emergency Flood Relief in Pakistan — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Trafigura Foundation Supports Emergency Flood Relief in Pakistan
P0,News,https://trafigurafoundation.org/news/trafigura-foundation-supports-outrigger-impact-fund-to-scale-climate-resilience-in-island-communities/,Outrigger Impact Fund islands,Outrigger Fund for Island Resilience | Trafigura Foundation,"Backing Outrigger Impact Fund I, a blended finance vehicle for blue economy businesses in Small Island Developing States building climate resilience.",Update Yoast fields,"index, follow",para1–2 Outrigger SIDS blue economy,,59,149,Trafigura Foundation Invests in Blue Economy Solutions for Resilient Island Communities — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Trafigura Foundation Invests in Blue Economy Solutions for Resilient Island Communities
P0,Page,https://trafigurafoundation.org/areas-of-work/,climate adaptation areas of work,Areas of Work | Trafigura Foundation,"Our climate adaptation work spans three linked areas: sustainable livelihoods, thriving nature, and prepared communities facing climate risk.",Update Yoast fields,"index, follow",h2 + paras livelihoods nature prepared,Keep as main hub; differentiate from /area-of-work/ CPT archive,36,141,Areas of Work Archive | Trafigura Foundation,"Browse Trafigura Foundation areas of work advancing climate resilience through livelihoods, nature and prepared communities.",AREAS OF WORK
P0,Page,https://trafigurafoundation.org/content-hub/,Trafigura Foundation content hub,Content Hub | Trafigura Foundation,"News, insights and publications on Foundation partnerships—from blue economy investments to climate-resilient businesses and coastal blue carbon.",Update Yoast fields,"index, follow",h2s + listed news headlines,,34,145,Unlocking Knowledge with the Trafigura Foundation Content Hub — Trafigura Foundation,Unlocking knowledge and driving impact with the Trafigura Foundation Content Hub - learn how its empowering communities.,content hub
P0,Page,https://trafigurafoundation.org/our-approach/,climate adaptation funding approach,Our Approach to Climate Adaptation | Trafigura Foundation,We organise multi-year collective action and catalytic funding so climate adaptation solutions scale for vulnerable communities and ecosystems.,Update Yoast fields,"index, follow",para1–2 + catalytic funding para,Generic meta; align with 2023–2027 strategy narrative,57,143,The Approach of Trafigura Foundation: Investing in Positive Change — Trafigura Foundation,Discover the impactful work of the Trafigura Foundation and their unique approach to making a difference in communities.,Our Approach
P0,Page,https://trafigurafoundation.org/partners-stories/,Trafigura Foundation partners,Our Partners | Trafigura Foundation,"Browse partners advancing climate resilience—from Sumatoria and COMACO to The HALO Trust, Blue Catalyst Fund and The Nature Conservancy.",Update Yoast fields; clarify IA vs /partner-stories/,"index, follow",paras listing Sumatoria COMACO HALO,,35,136,Explore the Impact of Trafigura Foundation: Partners Stories — Trafigura Foundation,Optimize your meta descriptions for better SEO. Learn how to create compelling and informative meta descriptions that drive traffic.,Our Partners
P0,Page,https://trafigurafoundation.org/who-we-are/,Trafigura Foundation climate adaptation,Trafigura Foundation | Who We Are,"We invest in catalytic solutions for resilient communities and ecosystems, closing the adaptation finance gap as needs near USD 340 billion a year by 2030.",Update Yoast fields,"index, follow",para3 UN adaptation gap + mission para,,33,155,Who we are - Trafigura Foundation: Empowering Communities — Trafigura Foundation,Uncover the mission of the About Trafigura Foundation. We prioritize climate adaptation and support for critical development challenges.,who we are
P0,Partner Story,https://trafigurafoundation.org/partner-stories/plan-vivo-foundation-2/,Plan Vivo carbon finance,Plan Vivo Foundation Partnership | Trafigura Foundation,"Supporting Plan Vivo so climate-vulnerable communities can design carbon-credit projects, access the voluntary carbon market and share benefits fairly.",Update Yoast fields,"index, follow",para4–5 Plan Vivo inclusive VCM,Possible duplicate slug (numbered); review canonical vs primary partner page,55,151,Plan Vivo Foundation — Trafigura Foundation,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Plan Vivo Foundation
P0,Partner Story,https://trafigurafoundation.org/partner-stories/planet-indonesia-2/,Planet Indonesia West Kalimantan,Planet Indonesia in West Kalimantan | Trafigura Foundation,"Supporting Planet Indonesia's ecosystem-based adaptation in West Kalimantan, protecting nearly a million hectares and benefiting about 17,000 families.",Update Yoast fields,"index, follow","para2+para5 West Kalimantan 17,000 families",Possible duplicate slug (numbered); review canonical vs primary partner page,58,151,Planet Indonesia — Partner Stories - Trafigura Foundation,Learn about Planet Indonesia and the ongoing support for ecosystem conservation in West Kalimantan. A brighter future awaits.,Planet Indonesia
P0,Partner Story,https://trafigurafoundation.org/partner-stories/root-capital-3/,Root Capital cocoa finance,Root Capital Cocoa Finance | Trafigura Foundation,"Root Capital backs Peruvian cocoa cooperatives with catalytic finance, climate adaptation plans, and advisory to help 4,000 producers raise incomes.",Update Yoast fields,"index, follow","para2–4+lis Peru cocoa; 4,000 producers",Possible duplicate slug (numbered); review canonical vs primary partner page,49,148,Trafigura Foundation's Impact Through Root Capital Collaboration,Explore the partnership between Trafigura Foundation and Root Capital focused on financing sustainable farming initiatives.,Root Capital
P0,Partner Story,https://trafigurafoundation.org/partner-stories/root-capital-4/,Root Capital Central America,Root Capital Central America | Trafigura Foundation,"From 2018–2021, Root Capital trained 12 coffee, honey and cocoa cooperatives in Guatemala, Honduras, Mexico and Nicaragua, benefiting 3,310 farmers.",Update Yoast fields,"index, follow","para2 12 co-ops; 3,310 farmers",Possible duplicate slug (numbered); review canonical vs primary partner page,51,148,Root Capital (Central America) — Trafigura Foundation,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Root Capital (Central America)
