priority,status,action,news_url,news_h1,partners_to_link,suggested_partner_urls,existing_partner_links,missing_partner_urls,is_partnership_announcement,suggested_anchor_text,suggested_learn_more_line
P1,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/honouring-womens-day-empowering-communities-globally/,Honouring Women’s Day: Empowering Communities Globally,Nuru => https://trafigurafoundation.org/partner-stories/nuru/ | Root Capital => https://trafigurafoundation.org/partner-stories/root-capital/ | Planet Indonesia => https://trafigurafoundation.org/partner-stories/planet-indonesia/ | BOMA => https://trafigurafoundation.org/partner-stories/boma/ | Education for Employment => https://trafigurafoundation.org/partner-stories/education-for-employment/,https://trafigurafoundation.org/partner-stories/nuru/ | https://trafigurafoundation.org/partner-stories/root-capital/ | https://trafigurafoundation.org/partner-stories/planet-indonesia/ | https://trafigurafoundation.org/partner-stories/boma/ | https://trafigurafoundation.org/partner-stories/education-for-employment/,,https://trafigurafoundation.org/partner-stories/nuru/ | https://trafigurafoundation.org/partner-stories/root-capital/ | https://trafigurafoundation.org/partner-stories/planet-indonesia/ | https://trafigurafoundation.org/partner-stories/boma/ | https://trafigurafoundation.org/partner-stories/education-for-employment/,no,Nuru; Root Capital; Planet Indonesia; BOMA; Education for Employment,Link each partner name on first mention
P1,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/international-womens-day-inspiring-stories-of-empowerment/,International Women’s Day: Inspiring Stories of Empowerment,Root Capital => https://trafigurafoundation.org/partner-stories/root-capital/ | BOMA => https://trafigurafoundation.org/partner-stories/boma/ | Bridges to Prosperity => https://trafigurafoundation.org/partner-stories/bridges-to-prosperity/ | Alliance for Responsible Mining (ARM) => https://trafigurafoundation.org/partner-stories/alliance-for-responsible-mining-arm/,https://trafigurafoundation.org/partner-stories/root-capital/ | https://trafigurafoundation.org/partner-stories/boma/ | https://trafigurafoundation.org/partner-stories/bridges-to-prosperity/ | https://trafigurafoundation.org/partner-stories/alliance-for-responsible-mining-arm/,,https://trafigurafoundation.org/partner-stories/root-capital/ | https://trafigurafoundation.org/partner-stories/boma/ | https://trafigurafoundation.org/partner-stories/bridges-to-prosperity/ | https://trafigurafoundation.org/partner-stories/alliance-for-responsible-mining-arm/,no,Root Capital; BOMA; Bridges to Prosperity; Alliance for Responsible Mining (ARM),Link each partner name on first mention
P1,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/regenerative-food-systems/,Regenerative Food Producers: Champions of Climate Resilience,TNC — Natural Climate Solutions Accelerator => https://trafigurafoundation.org/partner-stories/the-nature-conservancy-natural-climate-solutions-accelerator/,https://trafigurafoundation.org/partner-stories/the-nature-conservancy-natural-climate-solutions-accelerator/,,https://trafigurafoundation.org/partner-stories/the-nature-conservancy-natural-climate-solutions-accelerator/,no,TNC — Natural Climate Solutions Accelerator,Learn more about our partnership with TNC — Natural Climate Solutions Accelerator
P1,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/trafigura-foundation-publishes-2024-annual-report/,Trafigura Foundation 2024 Annual Report,Plan Vivo => https://trafigurafoundation.org/partner-stories/plan-vivo/ | Planet Indonesia => https://trafigurafoundation.org/partner-stories/planet-indonesia/ | Clim-Eat => https://trafigurafoundation.org/partner-stories/clim-eat/ | TNC — Natural Climate Solutions Accelerator => https://trafigurafoundation.org/partner-stories/the-nature-conservancy-natural-climate-solutions-accelerator/,https://trafigurafoundation.org/partner-stories/plan-vivo/ | https://trafigurafoundation.org/partner-stories/planet-indonesia/ | https://trafigurafoundation.org/partner-stories/clim-eat/ | https://trafigurafoundation.org/partner-stories/the-nature-conservancy-natural-climate-solutions-accelerator/,,https://trafigurafoundation.org/partner-stories/plan-vivo/ | https://trafigurafoundation.org/partner-stories/planet-indonesia/ | https://trafigurafoundation.org/partner-stories/clim-eat/ | https://trafigurafoundation.org/partner-stories/the-nature-conservancy-natural-climate-solutions-accelerator/,no,Plan Vivo; Planet Indonesia; Clim-Eat; TNC — Natural Climate Solutions Accelerator,Link each partner name on first mention
P1,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/trafigura-foundation-supports-emergency-flood-relief-in-pakistan/,Trafigura Foundation Supports Emergency Flood Relief in Pakistan,Start Network => https://trafigurafoundation.org/partner-stories/start-network-start-fund/ | Start Network => https://trafigurafoundation.org/partner-stories/start-network-start-ready/,https://trafigurafoundation.org/partner-stories/start-network-start-fund/ | https://trafigurafoundation.org/partner-stories/start-network-start-ready/,https://trafigurafoundation.org/partner-stories/start-network/,https://trafigurafoundation.org/partner-stories/start-network-start-fund/ | https://trafigurafoundation.org/partner-stories/start-network-start-ready/,no,Start Network; Start Network,Link each partner name on first mention
P1,partial,Add missing partner link(s),https://trafigurafoundation.org/news/trafigura-foundation-joins-global-pledge-to-protect-coral-reefs/,Trafigura Foundation Joins Global Pledge to Protect Coral Reefs,Wildlife Conservation Society (WCS) => https://trafigurafoundation.org/partner-stories/wildlife-conservation-society-wcs/ | TNC — Natural Climate Solutions Accelerator => https://trafigurafoundation.org/partner-stories/the-nature-conservancy-natural-climate-solutions-accelerator/,https://trafigurafoundation.org/partner-stories/wildlife-conservation-society-wcs/ | https://trafigurafoundation.org/partner-stories/the-nature-conservancy-natural-climate-solutions-accelerator/,https://trafigurafoundation.org/partner-stories/wildlife-conservation-society-wcs/,https://trafigurafoundation.org/partner-stories/the-nature-conservancy-natural-climate-solutions-accelerator/,no,Wildlife Conservation Society (WCS); TNC — Natural Climate Solutions Accelerator,Link each partner name on first mention
P2,done,Already linked,https://trafigurafoundation.org/news/bridging-market-forces-and-ecosystem-protection-for-coastal-communities-in-tanzania/,Bridging Market Forces and Ecosystem Protection for Coastal Communities in Tanzania,Blue Alliance => https://trafigurafoundation.org/partner-stories/blue-alliance/,https://trafigurafoundation.org/partner-stories/blue-alliance/,https://trafigurafoundation.org/partner-stories/blue-alliance/,,no,Blue Alliance,Learn more about our partnership with Blue Alliance
P2,done,Already linked,https://trafigurafoundation.org/news/colombia-how-the-dream-of-acai-lifts-community-resilience/,Colombia: How “the Dream of Açaí” Lifts Community Resilience,Beneficial Returns => https://trafigurafoundation.org/partner-stories/beneficial-returns/,https://trafigurafoundation.org/partner-stories/beneficial-returns/,https://trafigurafoundation.org/partner-stories/beneficial-returns/,,no,Beneficial Returns,Learn more about our partnership with Beneficial Returns
P2,done,Already linked,https://trafigurafoundation.org/news/looking-ahead-to-2026-with-local-leaders/,Looking Ahead to 2026 with Local Leaders,Beneficial Returns => https://trafigurafoundation.org/partner-stories/beneficial-returns/,https://trafigurafoundation.org/partner-stories/beneficial-returns/,https://trafigurafoundation.org/partner-stories/beneficial-returns/,,no,Beneficial Returns,Learn more about our partnership with Beneficial Returns
P2,done,Already linked,https://trafigurafoundation.org/news/new-grant-to-the-nature-conservancy/,New Grant to The Nature Conservancy,TNC — Natural Climate Solutions Accelerator => https://trafigurafoundation.org/partner-stories/the-nature-conservancy-natural-climate-solutions-accelerator/,https://trafigurafoundation.org/partner-stories/the-nature-conservancy-natural-climate-solutions-accelerator/,https://trafigurafoundation.org/partner-stories/the-nature-conservancy-natural-climate-solutions-accelerator/,,yes,TNC — Natural Climate Solutions Accelerator,Learn more about our partnership with TNC — Natural Climate Solutions Accelerator
P2,done,Already linked,https://trafigurafoundation.org/news/new-partnership-protecting-coastal-ecosystems-for-people-and-nature-with-blue-alliance/,New Partnership to Protect Coastal Ecosystems for People and Nature,Blue Alliance => https://trafigurafoundation.org/partner-stories/blue-alliance/,https://trafigurafoundation.org/partner-stories/blue-alliance/,https://trafigurafoundation.org/partner-stories/blue-alliance/,,yes,Blue Alliance,Learn more about our partnership with Blue Alliance
P2,done,Already linked,https://trafigurafoundation.org/news/new-partnership-to-accelerate-innovations-for-climate-resilience/,New Partnership to Advance Innovations for Climate Resilience,Global Resilience Partnership => https://trafigurafoundation.org/partner-stories/global-resilience-partnership/,https://trafigurafoundation.org/partner-stories/global-resilience-partnership/,https://trafigurafoundation.org/partner-stories/global-resilience-partnership/,,yes,Global Resilience Partnership,Learn more about our partnership with Global Resilience Partnership
P2,done,Already linked,https://trafigurafoundation.org/news/new-partnership-to-build-climate-resilient-informal-settlements-in-africa/,New Partnership to Build Climate-Resilient Informal Settlements in Africa,Slum Dwellers International (SDI) => https://trafigurafoundation.org/partner-stories/slum-dwellers-international-sdi/,https://trafigurafoundation.org/partner-stories/slum-dwellers-international-sdi/,https://trafigurafoundation.org/partner-stories/slum-dwellers-international-sdi/,,yes,Slum Dwellers International (SDI),Learn more about our partnership with Slum Dwellers International (SDI)
P2,done,Already linked,https://trafigurafoundation.org/news/new-partnership-to-make-conservation-profitable-for-farming-families-in-zambia/,New Partnership to Make Conservation Profitable for Farming Families in Zambia,COMACO => https://trafigurafoundation.org/partner-stories/comaco/,https://trafigurafoundation.org/partner-stories/comaco/,https://trafigurafoundation.org/partner-stories/comaco/,,yes,COMACO,Learn more about our partnership with COMACO
P2,done,Already linked,https://trafigurafoundation.org/news/new-partnership-to-restore-safe-land-and-nature-in-angola/,New partnership to Restore Safe Land and Nature in Angola,The HALO Trust => https://trafigurafoundation.org/partner-stories/the-halo-trust/,https://trafigurafoundation.org/partner-stories/the-halo-trust/,https://trafigurafoundation.org/partner-stories/the-halo-trust/,,yes,The HALO Trust,Learn more about our partnership with The HALO Trust
P2,done,Already linked,https://trafigurafoundation.org/news/new-partnership-to-scale-blue-carbon-projects-and-strengthen-coastal-resilience/,New Partnership to Advance Blue Carbon Projects and Coastal Resilience,Blue Catalyst Fund => https://trafigurafoundation.org/partner-stories/blue-catalyst-fund/,https://trafigurafoundation.org/partner-stories/blue-catalyst-fund/,https://trafigurafoundation.org/partner-stories/blue-catalyst-fund/,,yes,Blue Catalyst Fund,Learn more about our partnership with Blue Catalyst Fund
P2,done,Already linked,https://trafigurafoundation.org/news/new-partnership-to-strengthen-community-led-conservation-in-africa/,New Partnership to Strengthen Community-Led Conservation in Africa,Maliasili => https://trafigurafoundation.org/partner-stories/maliasili/,https://trafigurafoundation.org/partner-stories/maliasili/,https://trafigurafoundation.org/partner-stories/maliasili/,,yes,Maliasili,Learn more about our partnership with Maliasili
P2,done,Already linked,https://trafigurafoundation.org/news/new-partnership-to-support-climate-resilient-small-businesses-in-argentina-and-paraguay/,New Partnership Supporting Climate-resilient Businesses in Argentina and Paraguay,Sumatoria => https://trafigurafoundation.org/partner-stories/sumatoria/,https://trafigurafoundation.org/partner-stories/sumatoria/,https://trafigurafoundation.org/partner-stories/sumatoria/,,yes,Sumatoria,Learn more about our partnership with Sumatoria
P2,done,Already linked,https://trafigurafoundation.org/news/new-partnership-to-support-climate-tech-innovation-in-emerging-markets/,New Partnership to Support Climate-tech Innovation in Emerging Markets,New Energy Nexus (NEX) => https://trafigurafoundation.org/partner-stories/new-energy-nexus-nex/,https://trafigurafoundation.org/partner-stories/new-energy-nexus-nex/,https://trafigurafoundation.org/partner-stories/new-energy-nexus-nex/,,yes,New Energy Nexus (NEX),Learn more about our partnership with New Energy Nexus (NEX)
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/2023-2027-strategic-centring-our-funding-on-climate-adaptation/,2023-2027 Strategy: Centring our Funding on Climate Adaptation,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/addressing-climate-and-health-an-investment-opportunity-for-social-investors/,Addressing Climate and Health: An Investment Opportunity for Social Investors,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/celebrating-continuous-learning-annes-training-achievement/,Celebrating Continuous Learning: Anne’s Training Achievement,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/connect-share-shape-partnership-highlights-from-nyc-climate-week/,"Connect, Share, Shape: Partnership Highlights from NYC Climate Week",,,,,yes,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/fostering-collective-action-insights-from-the-latimpacto-annual-conference/,Fostering Collective Action: Insights from the Latimpacto Annual Conference,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/fundacion-don-bosco-spain/,Don Bosco: Story of Diako,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/innovate-collaborate-sustain/,Our Executive Director’s Message for COP 28,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/launch-of-our-climate-resilience-case-studies/,New Field-based Case Studies on Climate Resilience,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/looking-ahead-building-resilience-for-2025/,Fostering Resilience in 2025,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/our-foundation-is-accredited-to-attend-the-2025-un-ocean-conference/,Our Foundation is Accredited to Attend the 2025 UN Ocean Conference,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/our-foundation-supports-relief-efforts-in-flood-stricken-rio-grande-do-sul-brazil/,"Our Foundation Supports Relief Efforts in Flood-Stricken Rio Grande do Sul, Brazil",,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/responding-to-mozambiques-worst-floods-in-40-years/,Responding to Mozambique’s Worst Floods in 40 Years,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/seeking-experts-to-develop-resilience-case-studies/,Seeking Experts to Create Impactful Case Studies,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/supporting-the-un-led-operation/,Supporting a United Nations-led Operation to Prevent an Oil Spill in the Red Sea,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/the-trafigura-foundation-is-seeking-a-programme-manager/,The Trafigura Foundation is Seeking a Programme Manager,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/the-trafigura-foundation-is-seeking-an-investment-manager-to-join-its-efforts/,The Trafigura Foundation Seeks an Investment Manager to Further Its Mission,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/trafigura-foundation-2021-annual-report/,Trafigura Foundation 2021 Annual Report,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/trafigura-foundation-2022-annual-report/,Trafigura Foundation 2020 Annual Report,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/trafigura-foundation-2025-annual-report-2/,Trafigura Foundation 2025 Annual Report,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/trafigura-foundation-publishes-2023-annual-report/,Trafigura Foundation 2023 Annual Report,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/trafigura-foundation-responds-to-united-nations-call-on-extreme-heat/,Trafigura Foundation Responds to United Nations Call on Extreme Heat,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/trafigura-foundation-signs-a-call-to-action-to-accelerate-action-on-climate-adaptation/,Trafigura Foundation Signs a Call to Action to Accelerate Action on Climate Adaptation,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/trafigura-foundation-supports-flood-relief-efforts-in-china/,Trafigura Foundation Supports Flood Relief Efforts in China,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/trafigura-foundation-supports-outrigger-impact-fund-to-scale-climate-resilience-in-island-communities/,Trafigura Foundation Invests in Blue Economy Solutions for Resilient Island Communities,,,,,no,,
P2,no_partner,No portfolio partner detected — skip,https://trafigurafoundation.org/news/wetlands-a-secret-weapon-against-climate-change/,Wetlands: A secret Weapon Against Climate Change,,,,,no,,
